"gene.id"	"ps"	"ps.FDR"	"corr.coef"
"408"	"Rgs3"	0.026	1	0.236875644210228
"409"	"Cfdp1"	0.034	1	0.236559637227551
"410"	"Yif1a"	0.03	1	0.235594620819893
"411"	"Suv39h1"	0.018	1	0.235272334270306
"412"	"Pop1"	0.026	1	0.234884221482503
"413"	"Wdfy3"	0.03	1	0.234327129867788
"414"	"Rab8a"	0.026	1	0.233822247623362
"415"	"Slc2a8"	0.046	1	0.233077095156615
"416"	"Tgm3"	0.032	1	0.232308187592425
"417"	"Cdk9"	0.034	1	0.23228626815803
"418"	"Rtf1"	0.033	1	0.231388528759251
"419"	"Nln"	0.037	1	0.23135396386545
"420"	"Spice1"	0.035	1	0.23124555353401
"421"	"0610012G03Rik"	0.022	1	0.230976297587076
"422"	"Ppp1r9b"	0.021	1	0.230533636536806
"423"	"3010026O09Rik"	0.035	1	0.230481144142938
"424"	"Dnajc27"	0.018	1	0.230134507977809
"425"	"Hspa4l"	0.037	1	0.229969238250076
"426"	"A430078G23Rik"	0.032	1	0.229853873072924
"427"	"Ccng1"	0.037	1	0.229784219053195
"428"	"Pwwp2a"	0.034	1	0.229460293380697
"429"	"Tcf3"	0.023	1	0.228438738358935
"430"	"4930506C21Rik"	0.037	1	0.228424449851698
"431"	"Eef1a1"	0.019	1	0.228066681058653
"432"	"Pisd-ps2"	0.035	1	0.228058535233721
"433"	"1110008F13Rik"	0.021	1	0.227728617862777
"434"	"Srp19"	0.028	1	0.227361838873048
"435"	"Cyp4f18"	0.011	1	0.227221983683984
"436"	"Ifit2"	0.038	1	0.227033372319367
"437"	"Ddhd1"	0.03	1	0.227019367947273
"438"	"Vmn2r41"	0.047	1	0.22661988583714
"439"	"Vmn2r40"	0.031	1	0.22661988583714
"440"	"Vmn2r48"	0.038	1	0.22661988583714
"441"	"Fam214a"	0.024	1	0.226383667655093
"442"	"Rbm34"	0.035	1	0.226340153744871
"443"	"Slco3a1"	0.045	1	0.22631913806015
"444"	"Yif1b"	0.02	1	0.225930193164801
"445"	"Rapgef4"	0.033	1	0.225800721215613
"446"	"Ndufa10"	0.024	1	0.225166315433515
"447"	"Hk2"	0.037	1	0.224964597161181
"448"	"Npc1"	0.047	1	0.224862698529399
"449"	"Hmcn1"	0.038	1	0.223854440613057
"450"	"Gm12530"	0.051	1	0.223854440613057
"451"	"Nadk"	0.027	1	0.223634368589285
"452"	"Vps52"	0.026	1	0.223370842390978
"453"	"Uck1"	0.018	1	0.223349391657284
"454"	"Clec4n"	0.021	1	0.223263353496725
"455"	"Tufm"	0.022	1	0.222997056286878
"456"	"Arhgef37"	0.036	1	0.222744850267111
"457"	"Dnah8"	0.066	1	0.222687999829866
"458"	"Zfp870"	0.075	1	0.222687999829866
"459"	"Gucy2g"	0.073	1	0.222687999829866
"460"	"Snx25"	0.067	1	0.222687999829866
"461"	"Eif3h"	0.035	1	0.222626874243706
"462"	"Clcn5"	0.032	1	0.221749275477069
"463"	"Myh10"	0.026	1	0.221593152495497
"464"	"Isg20l2"	0.045	1	0.221554536010151
"465"	"Hax1"	0.029	1	0.221039338034962
"466"	"Gm12596"	0.058	1	0.220969685891525
"467"	"Pik3ap1"	0.041	1	0.220965268878116
"468"	"Slc35f5"	0.079	1	0.220881200642606
"469"	"2510002D24Rik"	0.056	1	0.220881200642606
"470"	"Tpgs2"	0.067	1	0.220881200642606
"471"	"Ifih1"	0.068	1	0.220881200642606
"472"	"Scarb2"	0.07	1	0.220881200642606
"473"	"Napg"	0.036	1	0.220429595951877
"474"	"Cirh1a"	0.036	1	0.220218556477529
"475"	"Adgre1"	0.044	1	0.219792465844555
"476"	"Kctd9"	0.034	1	0.219079202717746
"477"	"Pms1"	0.037	1	0.219043317205778
"478"	"Plk3"	0.036	1	0.218727971593456
"479"	"Bcdin3d"	0.038	1	0.218681293827058
"480"	"Vhl"	0.043	1	0.218137124182627
"481"	"Rell2"	0.029	1	0.218100749920773
"482"	"Eml2"	0.027	1	0.218100749920773
"483"	"Zfp382"	0.024	1	0.218100749920773
"484"	"BC023829"	0.039	1	0.218100749920773
"485"	"Rfc3"	0.044	1	0.217756229577859
"486"	"Unkl"	0.025	1	0.21739526930417
"487"	"Treml4"	0.042	1	0.217307286751251
"488"	"Pigo"	0.025	1	0.217117775465405
"489"	"Cstf2"	0.036	1	0.216667146801415
"490"	"Slc36a1os"	0.052	1	0.216333583081028
"491"	"Ift20"	0.024	1	0.215612456427413
"492"	"Fam111a"	0.034	1	0.21497648106218
"493"	"Aida"	0.043	1	0.214925598199672
"494"	"Nol11"	0.02	1	0.214526365123117
"495"	"Ndnl2"	0.045	1	0.214287546274849
"496"	"Pfkl"	0.039	1	0.214056531941426
"497"	"Srgn"	0.033	1	0.213935403845236
"498"	"Mir5121"	0.042	1	0.213920375651682
"499"	"Rab7"	0.03	1	0.213327640597616
"500"	"Tbc1d9b"	0.026	1	0.213144225541829
"501"	"Myl12a"	0.037	1	0.212972217385791
"502"	"Cops5"	0.027	1	0.212745380084604
"503"	"Lepr"	0.039	1	0.212659458276839
"504"	"Tmc3"	0.039	1	0.212649082814165
"505"	"Cpsf6"	0.023	1	0.212463391618287
"506"	"Gas5"	0.038	1	0.212153662149797
"507"	"Itgb1"	0.039	1	0.212050179956327
"508"	"Tbc1d17"	0.038	1	0.211936540511041
"509"	"Mrgpra2a"	0.025	1	0.211362332532002
"510"	"2310033P09Rik"	0.033	1	0.211292666500224
"511"	"Plekha3"	0.037	1	0.211177169063504
"512"	"Slc7a1"	0.034	1	0.211025041334536
"513"	"Ints6"	0.03	1	0.210728137828464
"514"	"Hacd3"	0.046	1	0.210467380260923
"515"	"AI839979"	0.043	1	0.210193403874915
"516"	"Golga4"	0.04	1	0.209746750396428
"517"	"Rc3h1"	0.031	1	0.209272690391096
"518"	"Txn2"	0.028	1	0.209111339868995
"519"	"Rabggta"	0.04	1	0.208809488415633
"520"	"Dtnb"	0.026	1	0.208314077022386
"521"	"Gbgt1"	0.045	1	0.208171001091793
"522"	"Ctdspl2"	0.048	1	0.208110697963249
"523"	"Ccdc93"	0.045	1	0.207872678644316
"524"	"Slc23a1"	0.053	1	0.207872678644316
"525"	"Sptbn1"	0.023	1	0.207768514136214
"526"	"Smim19"	0.033	1	0.207560564980364
"527"	"Med1"	0.044	1	0.207516076346463
"528"	"Mnt"	0.054	1	0.207368245537335
